#Stellar_Type,Mass,Luminosity,Radius,Temp,B-V,Mv,BC(Temp),Mbol
#None,Mstar/Msun,Lstar/Lsun,Rstar/Rsun,K,Color,Mag,Corr,Mag
A0Ia,13.70,107000.00,114.00,9900.00,-0.06,-7.40,-0.42,-7.82
A0Ia0,15.80,186000.00,151.00,9900.00,-0.06,-8.00,-0.42,-8.42
A0Ib,11.50,15400.00,43.50,9900.00,-0.06,-5.30,-0.42,-5.72
A0II,9.40,2680.00,18.10,9900.00,-0.06,-3.40,-0.42,-3.82
A0III,7.20,154.00,4.35,9900.00,-0.06,-0.30,-0.42,-0.72
A0IV,5.10,88.80,3.30,9900.00,-0.06,0.30,-0.42,-0.12
A0V,2.90,67.40,2.88,9900.00,-0.06,0.60,-0.42,0.18
A0VI,1.90,26.80,1.81,9900.00,-0.06,1.60,-0.42,1.18
A1Ia,13.10,114000.00,123.00,9707.00,-0.06,-7.50,-0.39,-7.89
A1Ia0,15.20,198000.00,162.00,9707.00,-0.06,-8.10,-0.39,-8.49
A1Ib,11.00,15000.00,44.60,9707.00,-0.06,-5.30,-0.39,-5.69
A1II,8.90,2350.00,17.90,9650.00,-0.06,-3.30,-0.38,-3.68
A1III,6.90,124.00,4.10,9650.00,-0.06,-0.10,-0.38,-0.48
A1IV,4.80,71.10,3.11,9650.00,-0.06,0.50,-0.38,0.12
A1V,2.70,49.20,2.59,9650.00,-0.06,0.90,-0.38,0.52
A1VI,1.80,19.60,1.63,9650.00,-0.06,1.90,-0.38,1.52
A2Ia,12.50,121000.00,132.00,9513.00,-0.05,-7.60,-0.36,-7.96
A2Ia0,14.50,210000.00,174.00,9513.00,-0.05,-8.20,-0.36,-8.56
A2Ib,10.50,13300.00,43.70,9513.00,-0.05,-5.20,-0.36,-5.56
A2II,8.50,2070.00,17.70,9400.00,-0.05,-3.20,-0.34,-3.54
A2III,6.50,99.00,3.87,9400.00,-0.05,0.10,-0.34,-0.24
A2IV,4.50,57.00,2.93,9400.00,-0.05,0.70,-0.34,0.36
A2V,2.50,39.40,2.44,9400.00,-0.05,1.10,-0.34,0.76
A2VI,1.80,15.70,1.54,9400.00,-0.05,2.10,-0.34,1.76
A3Ia,12.00,129000.00,142.00,9320.00,-0.05,-7.70,-0.33,-8.03
A3Ia0,13.90,224000.00,187.00,9320.00,-0.05,-8.30,-0.33,-8.63
A3Ib,10.00,12900.00,44.90,9320.00,-0.05,-5.20,-0.33,-5.53
A3II,8.10,1660.00,16.70,9150.00,-0.04,-3.00,-0.30,-3.30
A3III,6.20,87.10,3.83,9150.00,-0.04,0.20,-0.30,-0.10
A3IV,4.30,41.70,2.65,9150.00,-0.04,1.00,-0.30,0.70
A3V,2.40,28.90,2.20,9150.00,-0.04,1.40,-0.30,1.10
A3VI,1.80,11.50,1.39,9150.00,-0.04,2.40,-0.30,2.10
A4Ia,11.40,138000.00,153.00,9127.00,-0.04,-7.80,-0.30,-8.10
A4Ia0,13.20,239000.00,202.00,9127.00,-0.04,-8.40,-0.30,-8.70
A4Ib,9.50,11400.00,44.10,9127.00,-0.04,-5.10,-0.30,-5.40
A4II,7.70,1460.00,16.60,8900.00,0.00,-2.90,-0.26,-3.16
A4III,5.80,70.00,3.63,8900.00,0.00,0.40,-0.26,0.14
A4IV,4.00,33.50,2.51,8900.00,0.00,1.20,-0.26,0.94
A4V,2.10,23.20,2.09,8900.00,0.00,1.60,-0.26,1.34
A4VI,1.70,9.23,1.32,8900.00,0.00,2.60,-0.26,2.34
A5Ia,10.80,161000.00,173.00,8933.00,0.00,-8.00,-0.27,-8.27
A5Ia0,12.60,255000.00,217.00,8933.00,0.00,-8.50,-0.27,-8.77
A5Ib,9.00,11100.00,45.40,8933.00,0.00,-5.10,-0.27,-5.37
A5II,7.20,1290.00,16.50,8650.00,0.05,-2.80,-0.23,-3.03
A5III,5.40,56.40,3.45,8650.00,0.05,0.60,-0.23,0.37
A5IV,3.70,27.00,2.38,8650.00,0.05,1.40,-0.23,1.17
A5V,1.90,17.00,1.89,8650.00,0.05,1.90,-0.23,1.67
A5VI,1.60,6.78,1.20,8650.00,0.05,2.90,-0.23,2.67
A6Ia,10.80,189000.00,195.00,8740.00,0.03,-8.20,-0.24,-8.44
A6Ia0,12.60,249000.00,224.00,8740.00,0.03,-8.50,-0.24,-8.74
A6Ib,9.00,10900.00,46.90,8740.00,0.03,-5.10,-0.24,-5.34
A6II,7.20,1140.00,16.50,8400.00,0.09,-2.70,-0.20,-2.90
A6III,5.40,45.50,3.28,8400.00,0.09,0.80,-0.20,0.60
A6IV,3.60,21.80,2.27,8400.00,0.09,1.60,-0.20,1.40
A6V,1.80,15.10,1.89,8400.00,0.09,2.00,-0.20,1.80
A6VI,1.60,5.47,1.14,8400.00,0.09,3.10,-0.20,2.90
A7Ia,10.80,222000.00,221.00,8547.00,0.07,-8.40,-0.21,-8.61
A7Ia0,12.60,267000.00,243.00,8547.00,0.07,-8.60,-0.21,-8.81
A7Ib,9.00,10600.00,48.40,8547.00,0.07,-5.10,-0.21,-5.31
A7II,7.20,1110.00,17.20,8150.00,0.14,-2.70,-0.17,-2.87
A7III,5.40,36.80,3.14,8150.00,0.14,1.00,-0.17,0.83
A7IV,3.60,19.30,2.27,8150.00,0.14,1.70,-0.17,1.53
A7V,1.80,12.20,1.81,8150.00,0.14,2.20,-0.17,2.03
A7VI,1.50,4.43,1.09,8150.00,0.14,3.30,-0.17,3.13
A8Ia,10.80,238000.00,240.00,8353.00,0.10,-8.50,-0.19,-8.69
A8Ia0,12.60,260000.00,251.00,8353.00,0.10,-8.60,-0.19,-8.79
A8Ib,9.00,10400.00,50.10,8353.00,0.10,-5.10,-0.19,-5.29
A8II,7.20,990.00,17.30,7900.00,0.19,-2.60,-0.14,-2.74
A8III,5.40,32.80,3.15,7900.00,0.19,1.10,-0.14,0.96
A8IV,3.60,15.70,2.18,7900.00,0.19,1.90,-0.14,1.76
A8V,1.80,10.90,1.81,7900.00,0.19,2.30,-0.14,2.16
A8VI,1.50,3.59,1.04,7900.00,0.19,3.50,-0.14,3.36
A9Ia,10.80,233000.00,249.00,8160.00,0.14,-8.50,-0.17,-8.67
A9Ia0,12.60,280000.00,273.00,8160.00,0.14,-8.70,-0.17,-8.87
A9Ib,9.00,10200.00,52.00,8160.00,0.14,-5.10,-0.17,-5.27
A9II,7.10,970.00,18.30,7650.00,0.24,-2.60,-0.12,-2.72
A9III,5.30,26.70,3.03,7650.00,0.24,1.30,-0.12,1.18
A9IV,3.50,14.00,2.20,7650.00,0.24,2.00,-0.12,1.88
A9V,1.70,8.85,1.75,7650.00,0.24,2.50,-0.12,2.38
A9VI,1.40,2.93,1.00,7650.00,0.24,3.70,-0.12,3.58
B0Ia,44.70,573000.00,41.60,25000.00,-0.27,-7.00,-2.65,-9.65
B0Ia0,50.10,2280000.00,83.00,25000.00,-0.27,-8.50,-2.65,-11.15
B0Ib,39.20,228000.00,26.20,25000.00,-0.27,-6.00,-2.65,-8.65
B0II,33.80,190000.00,19.10,28000.00,-0.29,-5.50,-2.95,-8.45
B0III,28.40,109000.00,14.50,28000.00,-0.29,-4.90,-2.95,-7.85
B0IV,22.90,75700.00,12.10,28000.00,-0.29,-4.50,-2.95,-7.45
B0V,17.50,36200.00,8.34,28000.00,-0.29,-3.70,-2.95,-6.65
B0VI,5.90,19000.00,6.04,28000.00,-0.29,-3.00,-2.95,-5.95
B1Ia,40.00,507000.00,43.20,23790.00,-0.26,-7.00,-2.51,-9.51
B1Ia0,45.10,2020000.00,86.20,23790.00,-0.26,-8.50,-2.51,-11.01
B1Ib,34.80,184000.00,26.00,23790.00,-0.26,-5.90,-2.51,-8.41
B1II,29.70,134000.00,18.30,26190.00,-0.28,-5.30,-2.77,-8.07
B1III,24.50,53400.00,11.60,26190.00,-0.28,-4.30,-2.77,-7.07
B1IV,19.40,37000.00,9.63,26190.00,-0.28,-3.90,-2.77,-6.67
B1V,14.20,19400.00,6.97,26190.00,-0.28,-3.20,-2.77,-5.97
B1VI,5.20,10200.00,5.05,26190.00,-0.28,-2.50,-2.77,-5.27
B2Ia,35.20,446000.00,45.00,22580.00,-0.25,-7.00,-2.37,-9.37
B2Ia0,40.10,1620000.00,85.70,22580.00,-0.25,-8.40,-2.37,-10.77
B2Ib,30.40,162000.00,27.10,22580.00,-0.25,-5.90,-2.37,-8.27
B2II,25.50,93600.00,17.70,24380.00,-0.27,-5.10,-2.58,-7.68
B2III,20.60,28300.00,9.71,24380.00,-0.27,-3.80,-2.58,-6.38
B2IV,15.80,19600.00,8.08,24380.00,-0.27,-3.40,-2.58,-5.98
B2V,10.90,9360.00,5.59,24380.00,-0.27,-2.60,-2.58,-5.18
B2VI,4.50,5390.00,4.24,24380.00,-0.27,-2.00,-2.58,-4.58
B3Ia,30.50,428000.00,49.20,21370.00,-0.24,-7.10,-2.23,-9.33
B3Ia0,35.10,1420000.00,89.50,21370.00,-0.24,-8.40,-2.23,-10.63
B3Ib,25.90,129000.00,27.00,21370.00,-0.24,-5.80,-2.23,-8.03
B3II,21.40,64500.00,17.10,22570.00,-0.25,-4.90,-2.37,-7.27
B3III,16.80,13500.00,7.82,22570.00,-0.25,-3.20,-2.37,-5.57
B3IV,12.20,9320.00,6.51,22570.00,-0.25,-2.80,-2.37,-5.17
B3V,7.60,4890.00,4.71,22570.00,-0.25,-2.10,-2.37,-4.47
B3VI,3.80,2570.00,3.41,22570.00,-0.25,-1.40,-2.37,-3.77
B4Ia,26.20,338000.00,49.20,20160.00,-0.23,-7.00,-2.07,-9.07
B4Ia0,30.10,1230000.00,93.70,20160.00,-0.23,-8.40,-2.07,-10.47
B4Ib,22.30,112000.00,28.30,20160.00,-0.23,-5.80,-2.07,-7.87
B4II,18.40,43700.00,16.70,20760.00,-0.24,-4.70,-2.15,-6.85
B4III,14.50,6930.00,6.63,20760.00,-0.24,-2.70,-2.15,-4.85
B4IV,10.60,4790.00,5.52,20760.00,-0.24,-2.30,-2.15,-4.45
B4V,6.70,2290.00,3.82,20760.00,-0.24,-1.50,-2.15,-3.65
B4VI,3.40,1320.00,2.89,20760.00,-0.24,-0.90,-2.15,-3.05
B5Ia,21.90,291000.00,51.60,18950.00,-0.22,-7.00,-1.91,-8.91
B5Ia0,25.10,965000.00,93.90,18950.00,-0.22,-8.30,-1.91,-10.21
B5Ib,18.70,88000.00,28.40,18950.00,-0.22,-5.70,-1.91,-7.61
B5II,15.50,29100.00,16.30,18950.00,-0.22,-4.50,-1.91,-6.41
B5III,12.30,3190.00,5.40,18950.00,-0.22,-2.10,-1.91,-4.01
B5IV,9.10,2210.00,4.50,18950.00,-0.22,-1.70,-1.91,-3.61
B5V,5.90,1160.00,3.26,18950.00,-0.22,-1.00,-1.91,-2.91
B5VI,2.90,667.00,2.47,18950.00,-0.22,-0.40,-1.91,-2.31
B6Ia,20.20,229000.00,55.90,17140.00,-0.20,-7.00,-1.65,-8.65
B6Ia0,23.20,758000.00,102.00,17140.00,-0.20,-8.30,-1.65,-9.95
B6Ib,17.20,63100.00,29.40,17140.00,-0.20,-5.60,-1.65,-7.25
B6II,14.20,17400.00,15.40,17140.00,-0.20,-4.20,-1.65,-5.85
B6III,11.20,1740.00,4.87,17140.00,-0.20,-1.70,-1.65,-3.35
B6IV,8.20,1200.00,4.05,17140.00,-0.20,-1.30,-1.65,-2.95
B6V,5.20,692.00,3.07,17140.00,-0.20,-0.70,-1.65,-2.35
B6VI,2.70,363.00,2.23,17140.00,-0.20,0.00,-1.65,-1.65
B7Ia,18.60,193000.00,64.30,15330.00,-0.18,-7.10,-1.37,-8.47
B7Ia0,21.40,533000.00,107.00,15330.00,-0.18,-8.20,-1.37,-9.57
B7Ib,15.80,44300.00,30.80,15330.00,-0.18,-5.50,-1.37,-6.87
B7II,12.90,11100.00,15.40,15330.00,-0.18,-4.00,-1.37,-5.37
B7III,10.10,1010.00,4.66,15330.00,-0.18,-1.40,-1.37,-2.77
B7IV,7.30,640.00,3.70,15330.00,-0.18,-0.90,-1.37,-2.27
B7V,4.50,404.00,2.94,15330.00,-0.18,-0.40,-1.37,-1.77
B7VI,2.50,193.00,2.03,15330.00,-0.18,0.40,-1.37,-0.97
B8Ia,16.90,160000.00,75.20,13520.00,-0.15,-7.20,-1.06,-8.26
B8Ia0,19.50,367000.00,114.00,13520.00,-0.15,-8.10,-1.06,-9.16
B8Ib,14.30,33400.00,34.40,13520.00,-0.15,-5.50,-1.06,-6.56
B8II,11.70,6990.00,15.70,13520.00,-0.15,-3.80,-1.06,-4.86
