# wavelength    value 
#  [um]         [flux]
3.019999861717224121e-01 4.300200089346617460e-06
3.039999902248382568e-01 3.954400199290830642e-06
3.059999942779541016e-01 3.830799869319889694e-06
3.079999983310699463e-01 3.788899903156561777e-06
3.100000023841857910e-01 4.099700163351371884e-06
3.120000064373016357e-01 3.913100044883321971e-06
3.139999806880950928e-01 3.639700025814818218e-06
3.159999847412109375e-01 3.803600066021317616e-06
3.179999887943267822e-01 3.865499820676632226e-06
3.199999928474426270e-01 3.255099954913021065e-06
3.219999969005584717e-01 3.131599896732950583e-06
3.240000009536743164e-01 4.021700078737922013e-06
3.260000050067901611e-01 4.107399945496581495e-06
3.279999792575836182e-01 3.537300017342204228e-06
3.299999833106994629e-01 3.231700020478456281e-06
3.319999873638153076e-01 2.894699946409673430e-06
3.339999914169311523e-01 2.607800070109078661e-06
3.359999954700469971e-01 2.459599954818258993e-06
3.379999995231628418e-01 2.989999984492897056e-06
3.400000035762786865e-01 3.028000037375022657e-06
3.419999778270721436e-01 2.755499963313923217e-06
3.439999818801879883e-01 2.018699888139963150e-06
3.459999859333038330e-01 2.519300096537335776e-06
3.479999899864196777e-01 2.574799964349949732e-06
3.499999940395355225e-01 3.060700009882566519e-06
3.519999980926513672e-01 2.687200094442232512e-06
3.540000021457672119e-01 2.710600028876797296e-06
3.559999763965606689e-01 1.292499973715166561e-06
3.579999804496765137e-01 1.603499981683853548e-07
3.599999845027923584e-01 2.039299943135119975e-06
3.649999797344207764e-01 2.021799900830956176e-06
3.700000047683715820e-01 2.576600081738433801e-06
3.750000000000000000e-01 5.018200113227067050e-07
3.799999952316284180e-01 1.229700046678772196e-06
3.849999904632568359e-01 -7.825600079058858682e-08
3.899999856948852539e-01 1.932699888129718602e-06
3.949999809265136719e-01 4.207799975119996816e-06
3.999999761581420898e-01 4.486899797484511510e-06
4.050000011920928955e-01 3.310100055387010798e-06
4.099999964237213135e-01 5.910900199523894116e-06
4.149999916553497314e-01 5.654399956256384030e-06
4.199999868869781494e-01 4.784400061907945201e-06
4.249999821186065674e-01 3.579199983505532146e-06
4.299999773502349854e-01 4.812699899048311636e-06
4.350000023841857910e-01 8.244000127888284624e-06
4.399999976158142090e-01 6.914799996593501419e-06
4.449999928474426270e-01 9.255099939764477313e-06
4.499999880790710449e-01 1.168800008599646389e-05
4.549999833106994629e-01 1.119199987442698330e-05
4.599999785423278809e-01 1.241700010723434389e-05
4.649999737739562988e-01 1.258900010725483298e-05
4.699999988079071045e-01 1.265799983229953796e-05
4.749999940395355225e-01 1.231700025527970865e-05
4.799999892711639404e-01 1.312600033998023719e-05
4.849999845027923584e-01 1.370500012853881344e-05
4.899999797344207764e-01 1.312099993810988963e-05
4.949999749660491943e-01 1.278200033993925899e-05
5.000000000000000000e-01 1.200899987452430651e-05
5.049999952316284180e-01 1.162900025519775227e-05
5.099999904632568359e-01 1.047499972628429532e-05
5.149999856948852539e-01 9.046900231624022126e-06
5.199999809265136719e-01 9.445700015930924565e-06
5.249999761581420898e-01 1.252299989573657513e-05
5.299999713897705078e-01 1.427299957867944613e-05
5.349999666213989258e-01 1.458200040360679850e-05
5.399999618530273438e-01 1.409899959980975837e-05
5.449999570846557617e-01 1.479200000176206231e-05
5.500000119209289551e-01 1.538300057291053236e-05
5.550000071525573730e-01 1.588799932505935431e-05
5.600000023841857910e-01 1.500300004408927634e-05
5.649999976158142090e-01 1.608599995961412787e-05
5.699999928474426270e-01 1.580599928274750710e-05
5.749999880790710449e-01 1.710499964246992022e-05
5.799999833106994629e-01 1.726099981169681996e-05
5.849999785423278809e-01 1.791300019249320030e-05
5.899999737739562988e-01 1.552100002299994230e-05
5.949999690055847168e-01 1.711299955786671489e-05
5.999999642372131348e-01 1.692700061539653689e-05
6.049999594688415527e-01 1.786500070011243224e-05
6.100000143051147461e-01 1.714599966362584382e-05
6.150000095367431641e-01 1.650400008657015860e-05
6.200000047683715820e-01 1.746000089042354375e-05
6.250000000000000000e-01 1.630800034035928547e-05
6.299999952316284180e-01 1.796399919840041548e-05
6.349999904632568359e-01 1.804800012905616313e-05
6.399999856948852539e-01 1.734800025587901473e-05
6.449999809265136719e-01 1.639900074223987758e-05
6.499999761581420898e-01 1.736000012897420675e-05
6.549999713897705078e-01 1.946900010807439685e-05
6.599999666213989258e-01 1.814399911381769925e-05
6.649999618530273438e-01 1.809800050978083163e-05
6.699999570846557617e-01 1.803600025596097112e-05
6.750000119209289551e-01 1.785399945219978690e-05
6.800000071525573730e-01 1.781100036168936640e-05
6.850000023841857910e-01 1.773700023477431387e-05
6.899999976158142090e-01 1.767299909261055291e-05
6.949999928474426270e-01 1.756500023475382477e-05
6.999999880790710449e-01 1.750599949446041137e-05
7.049999833106994629e-01 1.743199936754535884e-05
7.099999785423278809e-01 1.735899968480225652e-05
7.149999737739562988e-01 1.733200042508542538e-05
7.199999690055847168e-01 1.725900074234232306e-05
7.249999642372131348e-01 1.718699968478176743e-05
7.299999594688415527e-01 1.714899917715229094e-05
7.349999547004699707e-01 1.709500065771862864e-05
7.400000095367431641e-01 1.703700036159716547e-05
7.450000047683715820e-01 1.696899926173500717e-05
7.500000000000000000e-01 1.693000012892298400e-05
7.549999952316284180e-01 1.684599919826723635e-05
7.599999904632568359e-01 1.676099964242894202e-05
7.649999856948852539e-01 1.669800076342653483e-05
7.699999809265136719e-01 1.661399983277078718e-05
7.749999761581420898e-01 1.658099972701165825e-05
7.799999713897705078e-01 1.648400029807817191e-05
7.849999666213989258e-01 1.635199987504165620e-05
7.899999618530273438e-01 1.622099989617709070e-05
7.949999570846557617e-01 1.592800072103273124e-05
7.999999523162841797e-01 1.572300061525311321e-05
8.050000071525573730e-01 1.539400000183377415e-05
8.100000023841857910e-01 1.518899989605415612e-05
8.149999976158142090e-01 1.510699985374230891e-05
8.199999928474426270e-01 1.520499972684774548e-05
8.249999880790710449e-01 1.528400025563314557e-05
8.299999833106994629e-01 1.523999981145607308e-05
8.349999785423278809e-01 1.531800080556422472e-05
8.399999737739562988e-01 1.525900006527081132e-05
8.449999690055847168e-01 1.523100036138202995e-05
8.499999642372131348e-01 1.470900042477296665e-05
8.549999594688415527e-01 1.396100014972034842e-05
8.599999547004699707e-01 1.490199974796269089e-05
8.649999499320983887e-01 1.413700010743923485e-05
8.700000047683715820e-01 1.460400017094798386e-05
8.750000000000000000e-01 1.462300042476272210e-05
8.799999952316284180e-01 1.448999955755425617e-05
8.849999904632568359e-01 1.439199968444881961e-05
8.899999856948852539e-01 1.431700002285651863e-05
8.949999809265136719e-01 1.417000021319836378e-05
8.999999761581420898e-01 1.395500021317275241e-05
9.049999713897705078e-01 1.367000004393048584e-05
9.099999666213989258e-01 1.312400036113103852e-05
9.149999618530273438e-01 1.291100033995462582e-05
9.199999570846557617e-01 1.261099987459601834e-05
9.249999523162841797e-01 1.253499976883176714e-05
9.299999475479125977e-01 1.265500031877309084e-05
9.350000023841857910e-01 1.302399959968170151e-05
9.399999976158142090e-01 1.307599995925556868e-05
9.449999928474426270e-01 1.298400002269772813e-05
9.499999880790710449e-01 1.289200008613988757e-05
9.549999833106994629e-01 1.264300044567789882e-05
9.599999785423278809e-01 1.243899987457552925e-05
9.649999737739562988e-01 1.222500031872186810e-05
9.699999690055847168e-01 1.199800044560106471e-05
9.749999642372131348e-01 1.192600029753521085e-05
9.799999594688415527e-01 1.198199970531277359e-05
9.849999547004699707e-01 1.189799968415172771e-05
9.899999499320983887e-01 1.179500031867064536e-05
9.949999451637268066e-01 1.169200004369486123e-05
1.000000000000000000e+00 1.160299962066346779e-05
1.250000000000000000e+00 7.080399882397614419e-06
2.200000047683715820e+00 1.502300051470228937e-06
3.399999856948852539e+00 3.291800112492637709e-07
