# wavelength    value 
#  [um]         [flux]
3.019951879978179932e-01 1.852739453315734863e+00
3.090295195579528809e-01 1.777618765830993652e+00
3.162277638912200928e-01 1.724625229835510254e+00
3.235936462879180908e-01 1.590056538581848145e+00
3.311311006546020508e-01 1.602099180221557617e+00
3.388441205024719238e-01 1.421563029289245605e+00
3.467368781566619873e-01 1.401337265968322754e+00
3.548133969306945801e-01 1.436024069786071777e+00
3.630780279636383057e-01 1.339921832084655762e+00
3.715351819992065430e-01 1.282120943069458008e+00
3.801893591880798340e-01 1.285475254058837891e+00
3.890451192855834961e-01 1.162370204925537109e+00
3.981072008609771729e-01 1.262546539306640625e+00
4.073802530765533447e-01 1.493170261383056641e+00
4.168693721294403076e-01 1.531924843788146973e+00
4.265794754028320312e-01 1.449136614799499512e+00
4.365158081054687500e-01 1.639245629310607910e+00
4.466835260391235352e-01 1.736190915107727051e+00
4.570882320404052734e-01 1.943072676658630371e+00
4.677351415157318115e-01 1.898522973060607910e+00
4.786300659179687500e-01 1.883678078651428223e+00
4.897787868976593018e-01 1.857661247253417969e+00
5.011872053146362305e-01 1.608779072761535645e+00
5.128613710403442383e-01 1.675229072570800781e+00
5.248075127601623535e-01 1.811917543411254883e+00
5.370318293571472168e-01 1.897937536239624023e+00
5.495408773422241211e-01 1.813997387886047363e+00
5.623412728309631348e-01 1.848903298377990723e+00
5.754399299621582031e-01 1.942761301994323730e+00
5.888436436653137207e-01 1.693962693214416504e+00
6.025595664978027344e-01 1.918702006340026855e+00
6.165950298309326172e-01 1.727892875671386719e+00
6.309573650360107422e-01 1.757349491119384766e+00
6.456542611122131348e-01 1.818346500396728516e+00
6.606934666633605957e-01 1.823719978332519531e+00
6.760829687118530273e-01 1.686757564544677734e+00
6.918309330940246582e-01 1.716010451316833496e+00
7.079457640647888184e-01 1.611915826797485352e+00
7.244359850883483887e-01 1.598775506019592285e+00
7.413102388381958008e-01 1.780929446220397949e+00
7.585775852203369141e-01 1.830485582351684570e+00
7.762470245361328125e-01 1.577418208122253418e+00
7.943282127380371094e-01 1.564246177673339844e+00
8.128305673599243164e-01 1.793226718902587891e+00
8.317637443542480469e-01 1.654523372650146484e+00
8.511380553245544434e-01 1.485051631927490234e+00
8.709635734558105469e-01 1.660036802291870117e+00
8.912508487701416016e-01 1.640321612358093262e+00
9.120107293128967285e-01 1.758302688598632812e+00
9.332543611526489258e-01 1.652816057205200195e+00
9.549926519393920898e-01 1.638215422630310059e+00
9.772371649742126465e-01 1.612571358680725098e+00
1.000000000000000000e+00 1.607276320457458496e+00
1.023293018341064453e+00 1.605974912643432617e+00
1.047128438949584961e+00 1.560490369796752930e+00
1.071519255638122559e+00 1.487937808036804199e+00
1.096478104591369629e+00 1.422088861465454102e+00
1.122018337249755859e+00 1.361833572387695312e+00
1.148153424263000488e+00 1.329218745231628418e+00
1.174897670745849609e+00 1.272499918937683105e+00
1.202264547348022461e+00 1.218142151832580566e+00
1.230268836021423340e+00 1.191061973571777344e+00
1.258925318717956543e+00 1.144657850265502930e+00
1.288249611854553223e+00 1.104057788848876953e+00
1.318256735801696777e+00 1.063670396804809570e+00
1.348962903022766113e+00 1.015230298042297363e+00
1.380384087562561035e+00 9.942091703414916992e-01
1.412537455558776855e+00 9.026612043380737305e-01
1.445439577102661133e+00 8.980111479759216309e-01
1.479108214378356934e+00 8.695646524429321289e-01
1.513561010360717773e+00 8.917638063430786133e-01
1.548816800117492676e+00 8.905355930328369141e-01
1.584893345832824707e+00 8.384536504745483398e-01
1.621810078620910645e+00 8.473436236381530762e-01
1.659587025642395020e+00 8.431544899940490723e-01
1.698243737220764160e+00 8.131658434867858887e-01
1.737800717353820801e+00 7.498686909675598145e-01
1.778279423713684082e+00 6.858629584312438965e-01
1.819700717926025391e+00 7.860843539237976074e-01
1.862086892127990723e+00 7.418895959854125977e-01
1.905460476875305176e+00 7.119858264923095703e-01
1.949844479560852051e+00 6.710993647575378418e-01
1.995262026786804199e+00 6.365414857864379883e-01
2.041737556457519531e+00 6.156483292579650879e-01
2.089296340942382812e+00 5.959889292716979980e-01
2.137962341308593750e+00 5.803208947181701660e-01
2.187761545181274414e+00 5.593844652175903320e-01
2.238721132278442383e+00 5.382248759269714355e-01
2.290867805480957031e+00 4.893762171268463135e-01
2.344228744506835938e+00 4.548645019531250000e-01
2.398832798004150391e+00 4.300121068954467773e-01
2.454708814620971680e+00 3.991909921169281006e-01
2.511886358261108398e+00 3.635037243366241455e-01
2.570395469665527344e+00 3.696264326572418213e-01
2.630267620086669922e+00 3.684635460376739502e-01
2.691534519195556641e+00 3.653029203414916992e-01
2.754229068756103516e+00 3.615372478961944580e-01
2.818383216857910156e+00 3.574167788028717041e-01
2.884031772613525391e+00 3.532932698726654053e-01
2.951209306716918945e+00 3.491609394550323486e-01
3.019951581954956055e+00 3.472175896167755127e-01
3.090295314788818359e+00 3.471933305263519287e-01
3.162277698516845703e+00 3.471657037734985352e-01
3.235936164855957031e+00 3.477906882762908936e-01
3.311310768127441406e+00 3.480835855007171631e-01
3.388441324234008789e+00 3.485306799411773682e-01
3.467367887496948242e+00 3.490163683891296387e-01
3.548133611679077148e+00 3.488494455814361572e-01
3.630779981613159180e+00 3.492293953895568848e-01
3.715352535247802734e+00 3.493931293487548828e-01
3.801894426345825195e+00 3.504123091697692871e-01
3.890451431274414062e+00 3.518685102462768555e-01
3.981071710586547852e+00 3.535628318786621094e-01
4.073802947998046875e+00 3.560493588447570801e-01
4.168694019317626953e+00 3.589787185192108154e-01
4.265795230865478516e+00 3.622821867465972900e-01
4.365158081054687500e+00 3.627618849277496338e-01
4.466835498809814453e+00 3.659126758575439453e-01
4.570881366729736328e+00 3.702861070632934570e-01
4.677350997924804688e+00 3.753761947154998779e-01
4.786299705505371094e+00 3.806271851062774658e-01
4.897789001464843750e+00 3.856443464756011963e-01
