# wavelength    value 
#  [um]         [flux]
3.019999861717224121e-01 7.201700100267771631e-06
3.039999902248382568e-01 6.732399924658238888e-06
3.059999942779541016e-01 6.509800186904612929e-06
3.079999983310699463e-01 6.412899892893619835e-06
3.100000023841857910e-01 6.733600002917228267e-06
3.120000064373016357e-01 6.450100045185536146e-06
3.139999806880950928e-01 6.107699846324976534e-06
3.159999847412109375e-01 6.251199920370709151e-06
3.179999887943267822e-01 6.230000053619733080e-06
3.199999928474426270e-01 5.515899829333648086e-06
3.219999969005584717e-01 5.397900167736224830e-06
3.240000009536743164e-01 6.278100045165047050e-06
3.260000050067901611e-01 6.199200015544192865e-06
3.279999792575836182e-01 5.471899839903926477e-06
3.299999833106994629e-01 5.073899956187233329e-06
3.319999873638153076e-01 4.677299784816568717e-06
3.339999914169311523e-01 4.397700195113429800e-06
3.359999954700469971e-01 4.305500169721199200e-06
3.379999995231628418e-01 4.815000011149095371e-06
3.400000035762786865e-01 4.683899987867334858e-06
3.419999778270721436e-01 4.330000137997558340e-06
3.439999818801879883e-01 3.546500010997988284e-06
3.459999859333038330e-01 4.089500180270988494e-06
3.479999899864196777e-01 4.101800186617765576e-06
3.499999940395355225e-01 4.595599875756306574e-06
3.519999980926513672e-01 4.185099896858446300e-06
3.540000021457672119e-01 4.081499810126842931e-06
3.559999763965606689e-01 2.542200036259600893e-06
3.579999804496765137e-01 1.414099983776395675e-06
3.599999845027923584e-01 3.379300096639781259e-06
3.649999797344207764e-01 2.989799895658507012e-06
3.700000047683715820e-01 3.394699888303875923e-06
3.750000000000000000e-01 1.638700041439733468e-06
3.799999952316284180e-01 2.741699972830247134e-06
3.849999904632568359e-01 1.758899998094420880e-06
3.899999856948852539e-01 3.707099949679104611e-06
3.949999809265136719e-01 6.468199899245519191e-06
3.999999761581420898e-01 5.638999937218613923e-06
4.050000011920928955e-01 4.184199951851041988e-06
4.099999964237213135e-01 6.423199920391198248e-06
4.149999916553497314e-01 6.300499990175012499e-06
4.199999868869781494e-01 5.383099960454273969e-06
4.249999821186065674e-01 3.962300070270430297e-06
4.299999773502349854e-01 5.284300186758628115e-06
4.350000023841857910e-01 8.058699677349068224e-06
4.399999976158142090e-01 6.956399829505244270e-06
