# wavelength    value 
#  [um]         [flux]
3.019951879978179932e-01 3.321338817477226257e-02
3.090295195579528809e-01 3.475124016404151917e-02
3.162277638912200928e-01 4.364062845706939697e-02
3.235936462879180908e-01 4.848244041204452515e-02
3.311311006546020508e-01 4.967477917671203613e-02
3.388441205024719238e-01 5.171557888388633728e-02
3.467368781566619873e-01 5.545452982187271118e-02
3.548133969306945801e-01 5.552642047405242920e-02
3.630780279636383057e-01 6.204475089907646179e-02
3.715351819992065430e-01 6.765331327915191650e-02
3.801893591880798340e-01 5.884952843189239502e-02
3.890451192855834961e-01 6.532283872365951538e-02
3.981072008609771729e-01 9.681329876184463501e-02
4.073802530765533447e-01 1.117484495043754578e-01
4.168693721294403076e-01 1.111875399947166443e-01
4.265794754028320312e-01 1.161396130919456482e-01
4.365158081054687500e-01 1.333484351634979248e-01
4.466835260391235352e-01 1.511495113372802734e-01
4.570882320404052734e-01 1.608553826808929443e-01
4.677351415157318115e-01 1.635061353445053101e-01
4.786300659179687500e-01 1.727165430784225464e-01
4.897787868976593018e-01 1.669383645057678223e-01
5.011872053146362305e-01 1.612145751714706421e-01
5.128613710403442383e-01 1.532494872808456421e-01
5.248075127601623535e-01 1.684017032384872437e-01
5.370318293571472168e-01 1.707830429077148438e-01
5.495408773422241211e-01 1.756422370672225952e-01
5.623412728309631348e-01 1.768057942390441895e-01
5.754399299621582031e-01 1.734032779932022095e-01
5.888436436653137207e-01 1.739743947982788086e-01
6.025595664978027344e-01 1.824236363172531128e-01
6.165950298309326172e-01 1.769207864999771118e-01
6.309573650360107422e-01 1.711350381374359131e-01
6.456542611122131348e-01 1.738611012697219849e-01
6.606934666633605957e-01 1.755003184080123901e-01
6.760829687118530273e-01 1.733611524105072021e-01
6.918309330940246582e-01 1.720419526100158691e-01
7.079457640647888184e-01 1.646683514118194580e-01
7.244359850883483887e-01 1.671823263168334961e-01
7.413102388381958008e-01 1.742519438266754150e-01
7.585775852203369141e-01 1.650425642728805542e-01
7.762470245361328125e-01 1.572324037551879883e-01
7.943282127380371094e-01 1.541017442941665649e-01
8.128305673599243164e-01 1.599201261997222900e-01
8.317637443542480469e-01 1.579535156488418579e-01
8.511380553245544434e-01 1.526985317468643188e-01
8.709635734558105469e-01 1.600451767444610596e-01
8.912508487701416016e-01 1.569523513317108154e-01
9.120107293128967285e-01 1.574261784553527832e-01
9.332543611526489258e-01 1.484964638948440552e-01
9.549926519393920898e-01 1.484327912330627441e-01
9.772371649742126465e-01 1.497018784284591675e-01
1.000000000000000000e+00 1.671604663133621216e-01
1.023293018341064453e+00 1.623241454362869263e-01
1.047128438949584961e+00 1.569540798664093018e-01
1.071519255638122559e+00 1.482514142990112305e-01
1.096478104591369629e+00 1.368482559919357300e-01
1.122018337249755859e+00 1.283776909112930298e-01
1.148153424263000488e+00 1.182484701275825500e-01
1.174897670745849609e+00 1.097490265965461731e-01
1.202264547348022461e+00 1.040178090333938599e-01
1.230268836021423340e+00 9.948758780956268311e-02
1.258925318717956543e+00 9.648270905017852783e-02
1.288249611854553223e+00 9.352897107601165771e-02
1.318256735801696777e+00 8.834239840507507324e-02
1.348962903022766113e+00 8.322916924953460693e-02
1.380384087562561035e+00 7.970569282770156860e-02
1.412537455558776855e+00 7.690396904945373535e-02
1.445439577102661133e+00 7.459554821252822876e-02
1.479108214378356934e+00 7.388758659362792969e-02
1.513561010360717773e+00 7.343339174985885620e-02
1.548816800117492676e+00 7.203146070241928101e-02
1.584893345832824707e+00 7.066048681735992432e-02
1.621810078620910645e+00 7.000049203634262085e-02
1.659587025642395020e+00 6.776805967092514038e-02
1.698243737220764160e+00 6.318511813879013062e-02
1.737800717353820801e+00 5.767805129289627075e-02
1.778279423713684082e+00 5.362557992339134216e-02
1.819700717926025391e+00 4.957405850291252136e-02
1.862086892127990723e+00 4.562287032604217529e-02
1.905460476875305176e+00 4.353671893477439880e-02
1.949844479560852051e+00 4.011493921279907227e-02
1.995262026786804199e+00 3.799109905958175659e-02
2.041737556457519531e+00 3.619182109832763672e-02
2.089296340942382812e+00 3.394534066319465637e-02
2.137962341308593750e+00 3.179753944277763367e-02
2.187761545181274414e+00 3.040648996829986572e-02
2.238721132278442383e+00 2.909860946238040924e-02
2.290867805480957031e+00 2.784827910363674164e-02
2.344228744506835938e+00 2.665285021066665649e-02
2.398832798004150391e+00 2.550983056426048279e-02
2.454708814620971680e+00 2.441705949604511261e-02
2.511886358261108398e+00 2.337216958403587341e-02
2.570395469665527344e+00 2.376241981983184814e-02
2.630267620086669922e+00 2.454007975757122040e-02
2.691534519195556641e+00 2.324561029672622681e-02
2.754229068756103516e+00 2.112765982747077942e-02
2.818383216857910156e+00 1.960225030779838562e-02
2.884031772613525391e+00 1.897842064499855042e-02
2.951209306716918945e+00 1.634369976818561554e-02
3.019951581954956055e+00 1.454610005021095276e-02
3.090295314788818359e+00 1.311463024467229843e-02
3.162277698516845703e+00 1.252595987170934677e-02
3.235936164855957031e+00 1.627836935222148895e-02
3.311310768127441406e+00 4.686570167541503906e-02
3.388441324234008789e+00 1.763631030917167664e-02
3.467367887496948242e+00 1.850574091076850891e-02
3.548133611679077148e+00 1.691957004368305206e-02
3.630779981613159180e+00 1.475127972662448883e-02
3.715352535247802734e+00 1.475251000374555588e-02
3.801894426345825195e+00 1.477716024965047836e-02
3.890451431274414062e+00 1.256177015602588654e-02
3.981071710586547852e+00 1.340678986161947250e-02
4.073802947998046875e+00 1.283500995486974716e-02
4.168694019317626953e+00 1.251287013292312622e-02
4.265795230865478516e+00 1.219941023737192154e-02
4.365158081054687500e+00 1.189437042921781540e-02
4.466835498809814453e+00 1.159751042723655701e-02
4.570881366729736328e+00 1.130857970565557480e-02
4.677350997924804688e+00 1.102735009044408798e-02
4.786299705505371094e+00 1.075359992682933807e-02
4.897789001464843750e+00 1.048708986490964890e-02
