# wavelength    value 
#  [um]         [flux]
3.019951879978179932e-01 7.514170408248901367e-01
3.090295195579528809e-01 7.392014861106872559e-01
3.162277638912200928e-01 7.407899498939514160e-01
3.235936462879180908e-01 6.821154952049255371e-01
3.311311006546020508e-01 7.266028523445129395e-01
3.388441205024719238e-01 6.310606598854064941e-01
3.467368781566619873e-01 6.462515592575073242e-01
3.548133969306945801e-01 6.969207525253295898e-01
3.630780279636383057e-01 6.551951766014099121e-01
3.715351819992065430e-01 6.430827975273132324e-01
3.801893591880798340e-01 6.483656167984008789e-01
3.890451192855834961e-01 5.957534313201904297e-01
3.981072008609771729e-01 6.666632294654846191e-01
4.073802530765533447e-01 8.397692441940307617e-01
4.168693721294403076e-01 8.810256123542785645e-01
4.265794754028320312e-01 8.395276069641113281e-01
4.365158081054687500e-01 9.934505224227905273e-01
4.466835260391235352e-01 1.071857333183288574e+00
4.570882320404052734e-01 1.228464722633361816e+00
4.677351415157318115e-01 1.210173249244689941e+00
4.786300659179687500e-01 1.208283305168151855e+00
4.897787868976593018e-01 1.200586318969726562e+00
5.011872053146362305e-01 1.034480094909667969e+00
5.128613710403442383e-01 1.088881492614746094e+00
5.248075127601623535e-01 1.193003654479980469e+00
5.370318293571472168e-01 1.260703206062316895e+00
5.495408773422241211e-01 1.208048462867736816e+00
5.623412728309631348e-01 1.238654255867004395e+00
5.754399299621582031e-01 1.310941696166992188e+00
5.888436436653137207e-01 1.140140295028686523e+00
6.025595664978027344e-01 1.303253412246704102e+00
6.165950298309326172e-01 1.172905564308166504e+00
6.309573650360107422e-01 1.197598814964294434e+00
6.456542611122131348e-01 1.244121789932250977e+00
6.606934666633605957e-01 1.251224994659423828e+00
6.760829687118530273e-01 1.157415628433227539e+00
6.918309330940246582e-01 1.180742740631103516e+00
7.079457640647888184e-01 1.109847903251647949e+00
7.244359850883483887e-01 1.102717280387878418e+00
7.413102388381958008e-01 1.233285903930664062e+00
7.585775852203369141e-01 1.270237803459167480e+00
7.762470245361328125e-01 1.093306779861450195e+00
7.943282127380371094e-01 1.085587620735168457e+00
8.128305673599243164e-01 1.248612999916076660e+00
8.317637443542480469e-01 1.152487874031066895e+00
8.511380553245544434e-01 1.033946752548217773e+00
8.709635734558105469e-01 1.158161878585815430e+00
8.912508487701416016e-01 1.145257830619812012e+00
9.120107293128967285e-01 1.229468703269958496e+00
9.332543611526489258e-01 1.155960798263549805e+00
9.549926519393920898e-01 1.147578835487365723e+00
9.772371649742126465e-01 1.129205703735351562e+00
