# Date: 2018-11-13
# Orig-Date: 2018-04-03
# Origin: SimMETIS
#Wavelength	Flux
#um	ph/s/m2
3.000e-01 7.483e+11
3.013e-01 9.639e+11
3.025e-01 9.711e+11
3.038e-01 9.784e+11
3.051e-01 9.858e+11
3.064e-01 9.931e+11
3.077e-01 1.001e+12
3.090e-01 1.008e+12
3.103e-01 1.133e+12
3.116e-01 1.132e+12
3.129e-01 1.131e+12
3.142e-01 1.130e+12
3.155e-01 1.129e+12
3.169e-01 1.128e+12
3.182e-01 1.127e+12
3.195e-01 1.126e+12
3.209e-01 1.122e+12
3.222e-01 1.126e+12
3.236e-01 1.130e+12
3.249e-01 1.134e+12
3.263e-01 1.138e+12
3.277e-01 1.142e+12
3.291e-01 1.146e+12
3.305e-01 9.831e+11
3.318e-01 9.778e+11
3.332e-01 9.726e+11
3.346e-01 9.673e+11
3.361e-01 9.620e+11
3.375e-01 9.567e+11
3.389e-01 9.513e+11
3.403e-01 1.211e+12
3.418e-01 1.211e+12
3.432e-01 1.211e+12
3.446e-01 1.210e+12
3.461e-01 1.210e+12
3.476e-01 1.210e+12
3.490e-01 1.210e+12
3.505e-01 1.222e+12
3.520e-01 1.221e+12
3.534e-01 1.220e+12
3.549e-01 1.219e+12
3.564e-01 1.218e+12
3.579e-01 1.217e+12
3.594e-01 1.216e+12
3.610e-01 1.258e+12
3.625e-01 1.258e+12
3.640e-01 1.258e+12
3.655e-01 1.258e+12
3.671e-01 1.259e+12
3.686e-01 1.259e+12
3.702e-01 1.012e+12
3.717e-01 1.008e+12
3.733e-01 1.004e+12
3.749e-01 9.995e+11
3.765e-01 9.954e+11
3.780e-01 9.913e+11
3.796e-01 9.872e+11
3.812e-01 3.179e+12
3.828e-01 3.179e+12
3.844e-01 3.179e+12
3.861e-01 3.179e+12
3.877e-01 3.179e+12
3.893e-01 3.179e+12
3.910e-01 3.485e+12
3.926e-01 3.501e+12
3.943e-01 3.517e+12
3.959e-01 3.533e+12
3.976e-01 3.549e+12
3.993e-01 3.565e+12
4.010e-01 3.587e+12
4.026e-01 3.607e+12
4.043e-01 3.627e+12
4.060e-01 3.647e+12
4.078e-01 3.667e+12
4.095e-01 3.687e+12
4.112e-01 3.924e+12
4.129e-01 3.917e+12
4.147e-01 3.911e+12
4.164e-01 3.904e+12
4.182e-01 3.898e+12
4.199e-01 3.891e+12
4.217e-01 3.902e+12
4.235e-01 3.902e+12
4.253e-01 3.902e+12
4.271e-01 3.902e+12
4.289e-01 3.903e+12
4.307e-01 2.259e+12
4.325e-01 2.265e+12
4.343e-01 2.270e+12
4.361e-01 2.275e+12
4.380e-01 2.280e+12
4.398e-01 2.286e+12
4.417e-01 3.729e+12
4.435e-01 3.730e+12
4.454e-01 3.731e+12
4.473e-01 3.733e+12
4.492e-01 3.734e+12
4.510e-01 3.634e+12
4.529e-01 3.610e+12
4.549e-01 3.585e+12
4.568e-01 3.561e+12
4.587e-01 3.536e+12
4.606e-01 3.411e+12
4.626e-01 3.414e+12
4.645e-01 3.417e+12
4.665e-01 3.420e+12
4.684e-01 3.423e+12
4.704e-01 3.498e+12
4.724e-01 3.498e+12
4.744e-01 3.498e+12
4.764e-01 3.498e+12
4.784e-01 3.498e+12
4.804e-01 2.412e+12
4.824e-01 2.420e+12
4.845e-01 2.428e+12
4.865e-01 2.436e+12
4.885e-01 2.444e+12
4.906e-01 3.300e+12
4.927e-01 3.294e+12
4.947e-01 3.289e+12
4.968e-01 3.283e+12
4.989e-01 3.277e+12
5.010e-01 3.242e+12
5.031e-01 3.243e+12
5.053e-01 3.244e+12
5.074e-01 3.244e+12
5.095e-01 3.245e+12
5.117e-01 3.159e+12
5.138e-01 3.166e+12
5.160e-01 3.172e+12
5.182e-01 3.179e+12
5.203e-01 3.147e+12
5.225e-01 3.148e+12
5.247e-01 3.150e+12
5.270e-01 3.151e+12
5.292e-01 3.152e+12
5.314e-01 3.089e+12
5.336e-01 3.090e+12
5.359e-01 3.092e+12
5.381e-01 3.093e+12
5.404e-01 3.034e+12
5.427e-01 3.034e+12
5.450e-01 3.035e+12
5.473e-01 3.035e+12
5.496e-01 3.036e+12
5.519e-01 2.959e+12
5.542e-01 2.960e+12
5.566e-01 2.960e+12
5.589e-01 2.961e+12
5.612e-01 2.923e+12
5.636e-01 2.921e+12
5.660e-01 2.920e+12
5.684e-01 2.918e+12
5.708e-01 2.843e+12
5.732e-01 2.847e+12
5.756e-01 2.852e+12
5.780e-01 2.856e+12
5.804e-01 2.809e+12
5.829e-01 2.810e+12
5.853e-01 2.811e+12
5.878e-01 2.812e+12
5.903e-01 2.743e+12
5.928e-01 2.741e+12
5.953e-01 2.739e+12
5.978e-01 2.736e+12
6.003e-01 2.708e+12
6.028e-01 2.708e+12
6.054e-01 2.708e+12
6.079e-01 2.708e+12
6.105e-01 2.585e+12
6.131e-01 2.601e+12
6.156e-01 2.616e+12
6.182e-01 2.632e+12
6.208e-01 2.584e+12
6.234e-01 2.588e+12
6.261e-01 2.592e+12
6.287e-01 2.596e+12
6.314e-01 2.543e+12
6.340e-01 2.547e+12
6.367e-01 2.551e+12
6.394e-01 2.555e+12
6.421e-01 2.515e+12
6.448e-01 2.515e+12
6.475e-01 2.515e+12
6.502e-01 2.047e+12
6.530e-01 2.044e+12
6.557e-01 2.041e+12
6.585e-01 2.039e+12
6.612e-01 2.420e+12
6.640e-01 2.421e+12
6.668e-01 2.421e+12
6.696e-01 2.421e+12
6.725e-01 2.386e+12
6.753e-01 2.383e+12
6.781e-01 2.380e+12
6.810e-01 2.351e+12
6.839e-01 2.351e+12
6.867e-01 2.352e+12
6.896e-01 2.352e+12
6.925e-01 2.313e+12
6.955e-01 2.313e+12
6.984e-01 2.314e+12
7.013e-01 2.276e+12
7.043e-01 2.276e+12
7.072e-01 2.276e+12
7.102e-01 2.233e+12
7.132e-01 2.233e+12
7.162e-01 2.232e+12
7.192e-01 2.232e+12
7.223e-01 2.202e+12
7.253e-01 2.202e+12
7.284e-01 2.203e+12
7.314e-01 2.163e+12
7.345e-01 2.163e+12
7.376e-01 2.163e+12
7.407e-01 2.128e+12
7.438e-01 2.128e+12
7.470e-01 2.128e+12
7.501e-01 2.094e+12
7.533e-01 2.094e+12
7.565e-01 2.094e+12
7.596e-01 2.093e+12
7.628e-01 2.061e+12
7.661e-01 2.061e+12
7.693e-01 2.061e+12
7.725e-01 2.027e+12
7.758e-01 2.024e+12
7.790e-01 2.021e+12
7.823e-01 1.993e+12
7.856e-01 1.991e+12
